snapshot_date,country,iso3,us_integration_depth,china_exposure_depth,net_alignment_score,source
2026-02-09,Lebanon,LBN,0.5318158105561672,30.0,35.265907905278084,backfilled
2026-02-09,Oman,OMN,20.0,60.0,30.0,backfilled
2026-02-09,Pakistan,PAK,20.0,80.0,20.0,backfilled
2026-02-09,Qatar,QAT,40.0,40.0,50.0,backfilled
2026-02-09,Saudi Arabia,SAU,79.56244981534589,70.0,54.781224907672936,backfilled
2026-02-09,Syria,SYR,6.406911043453157,50.0,28.203455521726582,backfilled
2026-02-09,Turkey,TUR,40.0,70.0,35.0,backfilled
2026-02-09,United Arab Emirates,ARE,57.91934593292352,60.0,48.95967296646177,backfilled
2026-02-09,Yemen,YEM,0.0,20.0,40.0,backfilled
2026-02-23,Afghanistan,AFG,0.0,10.0,45.0,backfilled
2026-02-23,Bahrain,BHR,40.0,30.0,55.0,backfilled
2026-02-23,Egypt,EGY,23.411702194731177,60.0,31.70585109736559,backfilled
2026-02-23,Iran,IRN,0.0,50.0,25.0,backfilled
2026-02-23,Iraq,IRQ,12.635681235586706,50.0,31.31784061779335,backfilled
2026-02-23,Israel,ISR,63.19072482084576,10.0,76.59536241042288,backfilled
2026-02-23,Jordan,JOR,20.0,30.0,45.0,backfilled
2026-02-23,Kuwait,KWT,20.0,70.0,25.0,backfilled
2026-02-23,Lebanon,LBN,0.5318158105561672,30.0,35.265907905278084,backfilled
2026-02-23,Oman,OMN,20.0,60.0,30.0,backfilled
2026-02-23,Pakistan,PAK,20.0,80.0,20.0,backfilled
2026-02-23,Qatar,QAT,40.0,40.0,50.0,backfilled
2026-02-23,Saudi Arabia,SAU,79.56244981534589,70.0,54.781224907672936,backfilled
2026-02-23,Syria,SYR,6.406911043453157,50.0,28.203455521726582,backfilled
2026-02-23,Turkey,TUR,40.0,70.0,35.0,backfilled
2026-02-23,United Arab Emirates,ARE,57.91934593292352,60.0,48.95967296646177,backfilled
2026-02-23,Yemen,YEM,0.0,20.0,40.0,backfilled
2026-06-15,Afghanistan,AFG,0.0,10.0,45.0,backfilled
2026-06-15,Bahrain,BHR,40.0,30.0,55.0,backfilled
2026-06-15,Egypt,EGY,25.163365135227068,60.0,32.581682567613534,backfilled
2026-06-15,Iran,IRN,0.0,50.0,25.0,backfilled
2026-06-15,Iraq,IRQ,12.635681235586706,50.0,31.31784061779335,backfilled
2026-06-15,Israel,ISR,63.19072482084576,10.0,76.59536241042288,backfilled
2026-06-15,Jordan,JOR,20.0,30.0,45.0,backfilled
2026-06-15,Kuwait,KWT,20.0,70.0,25.0,backfilled
2026-06-15,Lebanon,LBN,0.5318158105561672,30.0,35.265907905278084,backfilled
2026-06-15,Oman,OMN,20.0,60.0,30.0,backfilled
2026-06-15,Pakistan,PAK,20.0,80.0,20.0,backfilled
2026-06-15,Qatar,QAT,40.0,40.0,50.0,backfilled
2026-06-15,Saudi Arabia,SAU,79.56244981534589,70.0,54.781224907672936,backfilled
2026-06-15,Syria,SYR,6.406911043453157,50.0,28.203455521726582,backfilled
2026-06-15,Turkey,TUR,40.0,70.0,35.0,backfilled
2026-06-15,United Arab Emirates,ARE,57.91934593292352,60.0,48.95967296646177,backfilled
2026-06-15,Yemen,YEM,0.0,20.0,40.0,backfilled
2026-07-10,Afghanistan,AFG,0.0,10.0,45.0,backfilled
2026-07-10,Bahrain,BHR,40.0,30.0,55.0,backfilled
2026-07-10,Egypt,EGY,25.163365135227068,60.0,32.581682567613534,backfilled
2026-07-10,Iran,IRN,0.0,50.0,25.0,backfilled
2026-07-10,Iraq,IRQ,12.635681235586706,50.0,31.31784061779335,backfilled
2026-07-10,Israel,ISR,63.19072482084576,10.0,76.59536241042288,backfilled
2026-07-10,Jordan,JOR,20.0,30.0,45.0,backfilled
2026-07-10,Kuwait,KWT,20.0,70.0,25.0,backfilled
2026-07-10,Lebanon,LBN,0.5318158105561672,30.0,35.265907905278084,backfilled
2026-07-10,Oman,OMN,20.0,60.0,30.0,backfilled
2026-07-10,Pakistan,PAK,20.0,80.0,20.0,backfilled
2026-07-10,Qatar,QAT,40.0,40.0,50.0,backfilled
2026-07-10,Saudi Arabia,SAU,79.56244981534589,70.0,54.781224907672936,backfilled
2026-07-10,Syria,SYR,6.406911043453157,50.0,28.203455521726582,backfilled
2026-07-10,Turkey,TUR,40.0,70.0,35.0,backfilled
2026-07-10,United Arab Emirates,ARE,73.91934593292352,60.0,56.95967296646177,backfilled
2026-07-10,Yemen,YEM,0.0,20.0,40.0,backfilled
2026-07-28,Afghanistan,AFG,0.0,10.0,45.0,backfilled
2026-07-28,Bahrain,BHR,40.0,30.0,55.0,backfilled
2026-07-28,Egypt,EGY,25.163365135227068,60.0,32.581682567613534,backfilled
2026-07-28,Iran,IRN,0.0,50.0,25.0,backfilled
2026-07-28,Iraq,IRQ,12.635681235586706,50.0,31.31784061779335,backfilled
2026-07-28,Israel,ISR,63.19072482084576,10.0,76.59536241042288,backfilled
2026-07-28,Jordan,JOR,40.95655634317569,30.0,55.478278171587846,backfilled
2026-07-28,Kuwait,KWT,20.0,70.0,25.0,backfilled
2026-07-28,Lebanon,LBN,0.5318158105561672,30.0,35.265907905278084,backfilled
2026-07-28,Oman,OMN,20.0,60.0,30.0,backfilled
2026-07-28,Pakistan,PAK,20.0,80.0,20.0,backfilled
2026-07-28,Qatar,QAT,40.0,40.0,50.0,backfilled
2026-07-28,Saudi Arabia,SAU,79.56244981534589,70.0,54.781224907672936,backfilled
2026-07-28,Syria,SYR,6.406911043453157,50.0,28.203455521726582,backfilled
2026-07-28,Turkey,TUR,40.0,70.0,35.0,backfilled
2026-07-28,United Arab Emirates,ARE,73.91934593292352,60.0,56.95967296646177,backfilled
2026-07-28,Yemen,YEM,0.0,20.0,40.0,backfilled
2026-09-02,Afghanistan,AFG,0.0,10.0,45.0,live_pipeline
2026-09-02,Bahrain,BHR,40.0,30.0,55.0,live_pipeline
2026-09-02,Egypt,EGY,25.163365135227068,60.0,32.581682567613534,live_pipeline
2026-09-02,Iran,IRN,0.0,50.0,25.0,live_pipeline
2026-09-02,Iraq,IRQ,12.635681235586706,50.0,31.31784061779335,live_pipeline
2026-09-02,Israel,ISR,63.19072482084576,10.0,76.59536241042288,live_pipeline
2026-09-02,Jordan,JOR,40.95655634317569,30.0,55.478278171587846,live_pipeline
2026-09-02,Kuwait,KWT,20.0,70.0,25.0,live_pipeline
2026-09-02,Lebanon,LBN,0.5318158105561672,30.0,35.265907905278084,live_pipeline
2026-09-02,Oman,OMN,20.0,60.0,30.0,live_pipeline
2026-09-02,Pakistan,PAK,20.0,80.0,20.0,live_pipeline
2026-09-02,Qatar,QAT,40.0,40.0,50.0,live_pipeline
2026-09-02,Saudi Arabia,SAU,79.56244981534589,70.0,54.781224907672936,live_pipeline
2026-09-02,Syria,SYR,6.406911043453157,50.0,28.203455521726585,live_pipeline
2026-09-02,Turkey,TUR,40.0,70.0,35.0,live_pipeline
2026-09-02,United Arab Emirates,ARE,73.91934593292352,60.0,56.95967296646177,live_pipeline
2026-09-02,Yemen,YEM,0.0,20.0,40.0,live_pipeline
